date,a,b1,b2,betaN,betaV,sigmaN1,sigmaN2,sigmaV1,sigmaV2,alpha,C,file_path
2022-05-06 17:45:37.944021,0.9,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.9000.csv
2022-05-06 17:45:57.995100,1.0,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=1.0000.csv
2022-05-06 17:57:18.648475,0.2,0.0,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b1_=0.0000.csv
2022-05-06 17:57:38.345064,0.2,0.1,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b1_=0.1000.csv
2022-05-06 17:57:57.742165,0.2,0.2,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b1_=0.2000.csv
2022-05-06 17:58:16.997645,0.2,0.3,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b1_=0.3000.csv
2022-05-06 17:58:36.520434,0.2,0.4,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b1_=0.4000.csv
2022-05-06 17:58:56.506936,0.2,0.5,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b1_=0.5000.csv
2022-05-06 17:59:16.235150,0.2,0.6,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b1_=0.6000.csv
2022-05-06 17:59:35.650631,0.2,0.7,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b1_=0.7000.csv
2022-05-06 17:59:54.849264,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b1_=0.8000.csv
2022-05-06 18:00:13.806508,0.2,0.9,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b1_=0.9000.csv
2022-05-06 18:00:33.418272,0.2,1.0,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b1_=1.0000.csv
2022-05-06 18:07:54.976672,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.017150361592160917,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_case_based_20000.csv
2022-05-07 11:28:19.697147,0.2,0.8,0.0,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b2_=0.0000.csv
2022-05-07 11:28:39.284740,0.2,0.8,0.1,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_b2_=0.1000.csv
